xed=100. yed=80. nfac=5. Fcd=100. dyd=20;
td;pwd
0.01;3.625e-2
0.02;4.957e-2
0.04;6.761e-2
0.07;8.648e-2
0.1;1.009e-1
0.4;1.769e-1
1;2.451e-1
4;3.827e-1
10;5.278e-1
40;8.760e-1
100;1.199e+0
400;1.806e+0
1000;2.370e+0
4000;4.737e+0
10000;9.453e+0
40000;3.302e+1
100000;8.015e+1
